seed,action,scenario,estimate
7,1,m_miss,-0.02334117965596444
7,1,e_miss,-0.02242812369120849
7,1,both_miss,-0.022894710604752778
7,2,correct,-0.014781938214966069
7,2,m_miss,-0.022115235647802788
7,2,e_miss,-0.014658107858122415
7,2,both_miss,-0.02274484392876075
8,0,correct,-0.006342875419383113
8,0,m_miss,-0.0046198179678556064
8,0,e_miss,-0.006347702249265178
8,0,both_miss,-0.010145657922535953
8,1,correct,-0.011782893294953757
8,1,m_miss,-0.012888059932327079
8,1,e_miss,-0.014270802579238207
8,1,both_miss,-0.015071299049190108
8,2,correct,-0.01606006134104442
8,2,m_miss,-0.02317355254724691
8,2,e_miss,-0.013355765546926916
8,2,both_miss,-0.02202971738941794
9,0,correct,-0.026109835435596456
9,0,m_miss,-0.03168846093143936
9,0,e_miss,-0.029600052003826864
9,0,both_miss,-0.02970079137849322
9,1,correct,-0.027242900494687684
9,1,m_miss,-0.021860747684849274
9,1,e_miss,-0.027073046813889123
9,1,both_miss,-0.03238813908003654
9,2,correct,-0.021499904437116035
9,2,m_miss,-0.023600849271417715
9,2,e_miss,-0.02674867881007708
9,2,both_miss,-0.029403815713656967
10,0,correct,-0.020003830314298834
10,0,m_miss,-0.02903112410225713
10,0,e_miss,-0.030168870737807246
10,0,both_miss,-0.02512755006050643
10,1,correct,-0.040121742423110195
10,1,m_miss,-0.031808523939754675
10,1,e_miss,-0.03362268615602297
10,1,both_miss,-0.04094843372162082
10,2,correct,-0.02473906468996415
10,2,m_miss,-0.037383410429640086
10,2,e_miss,-0.036285795124385976
10,2,both_miss,-0.03400524759853764
11,0,correct,-0.011784638243080835
11,0,m_miss,-0.017620752193657916
11,0,e_miss,-0.017595179946651034
11,0,both_miss,-0.015181633115588863
11,1,correct,-0.015464450520263233
11,1,m_miss,-0.01655608443152385
11,1,e_miss,-0.014753913316293844
11,1,both_miss,-0.01648536626001146
11,2,correct,-0.011529477136820718
11,2,m_miss,-0.010538485888936943
11,2,e_miss,-0.01361715173307458
11,2,both_miss,-0.01308479643297905
12,0,correct,-0.017163739234547788
12,0,m_miss,-0.018258584411633076
12,0,e_miss,-0.026601327205640245
12,0,both_miss,-0.030399712025281234
12,1,correct,-0.029507140433522937
12,1,m_miss,-0.028671157755510854
12,1,e_miss,-0.02697878752025496
12,1,both_miss,-0.033774375258264926
12,2,correct,-0.01702788051557303
12,2,m_miss,-0.02664322863033276
12,2,e_miss,-0.022157100856517134
12,2,both_miss,-0.03363160675805453
13,0,correct,-0.01789526443458911
13,0,m_miss,-0.01866511099645766
13,0,e_miss,-0.018665110996457665
13,0,both_miss,-0.04000177451097109
13,1,correct,-0.01972196483954278
13,1,m_miss,-0.02758497675246068
13,1,e_miss,-0.02758497675246069
13,1,both_miss,-0.029439634914585042
13,2,correct,-0.0241169838936536
13,2,m_miss,-0.02900151471475704
13,2,e_miss,-0.029001514714757055
13,2,both_miss,-0.029976347093207043
14,0,correct,-0.02915667403220383
14,0,m_miss,-0.031106777730369378
14,0,e_miss,-0.02913684414640544
14,0,both_miss,-0.030343233725337496
14,1,correct,-0.018408704812493196
14,1,m_miss,-0.02599789136494286
14,1,e_miss,-0.030123678428743823
14,1,both_miss,-0.024725002058586645
14,2,correct,-0.021935536951843276
14,2,m_miss,-0.03035382174210655
14,2,e_miss,-0.03485353478238222
14,2,both_miss,-0.03994315587321969
15,0,correct,-0.016302859458033395
15,0,m_miss,-0.02486532930156709
15,0,e_miss,-0.027294991212098607
15,0,both_miss,-0.03065668304314893
15,1,correct,-0.00713817398179817
15,1,m_miss,-0.009364475646732822
15,1,e_miss,-0.0076005978596145425
15,1,both_miss,-0.009872493341485792
15,2,correct,-0.012109840556517227
15,2,m_miss,-0.009295128509460565
15,2,e_miss,-0.01852491328580002
15,2,both_miss,-0.024299196902454828
16,0,correct,-0.01867089857625212
16,0,m_miss,-0.02280180970223342
16,0,e_miss,-0.022823428321879127
16,0,both_miss,-0.02743932634812547
16,1,correct,-0.007515015041745518
16,1,m_miss,-0.01842082682307667
16,1,e_miss,-0.019759559802228672
16,1,both_miss,-0.01837828175129337
16,2,correct,-0.01652994511599172
16,2,m_miss,-0.019710641935164877
16,2,e_miss,-0.02017803393256708
16,2,both_miss,-0.0293248365485124
17,0,correct,-0.013328177646832738
17,0,m_miss,-0.01664112908064441
17,0,e_miss,-0.012119518933011523
17,0,both_miss,-0.01793603872208169
17,1,correct,-0.010333092176751907
17,1,m_miss,-0.013175794824001287
17,1,e_miss,-0.010956035773417229
17,1,both_miss,-0.014293951126261882
17,2,correct,-0.016542191751485764
17,2,m_miss,-0.020825555466346297
17,2,e_miss,-0.0179797919849363
17,2,both_miss,-0.022535837422804645
18,0,correct,-0.026115997345170172
18,0,m_miss,-0.028364575496027822
18,0,e_miss,-0.02607866763488268
18,0,both_miss,-0.028693821073960173
18,1,correct,-0.015622515971729367
18,1,m_miss,-0.0151570941391159
18,1,e_miss,-0.018139724617518012
18,1,both_miss,-0.017765734748123225
18,2,correct,-0.019303984318733126
18,2,m_miss,-0.02138634705633875
18,2,e_miss,-0.027646582760762102
18,2,both_miss,-0.03446120789213167
19,0,correct,-0.017572013669682987
19,0,m_miss,-0.019902635706634274
19,0,e_miss,-0.017618347179407665
19,0,both_miss,-0.018614453337863882
19,1,correct,-0.021251881143268467
19,1,m_miss,-0.024176732018570818
19,1,e_miss,-0.020006728010280514
19,1,both_miss,-0.02957510551042856
19,2,correct,-0.02196765618191563
19,2,m_miss,-0.02904195847965419
19,2,e_miss,-0.026174556093835538
19,2,both_miss,-0.02969107813930699
20,0,correct,-0.011940238891549576
20,0,m_miss,-0.011173719749733328
20,0,e_miss,-0.011068603691546124
20,0,both_miss,-0.012169861267272196
20,1,correct,-0.01662904523939682
20,1,m_miss,-0.01793982624426472
20,1,e_miss,-0.016065071267830165
20,1,both_miss,-0.022156470507253643
20,2,correct,-0.006222313070600941
20,2,m_miss,-0.01830662841854005
20,2,e_miss,-0.008598492225079487
20,2,both_miss,-0.022538759480636564
21,0,correct,-0.023628462654332858
21,0,m_miss,-0.024855524128402796
21,0,e_miss,-0.027642511414589087
21,0,both_miss,-0.024962148612460017
21,1,correct,-0.012496838594073629
21,1,m_miss,-0.020260698179268326
21,1,e_miss,-0.02181868517701667
21,1,both_miss,-0.02347864781813933
21,2,correct,-0.021336304415686486
21,2,m_miss,-0.028768145796232443
21,2,e_miss,-0.02601816998331809
21,2,both_miss,-0.04277942965147578
22,0,correct,-0.018550409542377404
22,0,m_miss,-0.025481034210216403
22,0,e_miss,-0.029939465722283818
22,0,both_miss,-0.03369827615829796
22,1,correct,-0.01853705124378176
22,1,m_miss,-0.01742693286274202
22,1,e_miss,-0.020751920889309217
22,1,both_miss,-0.024347973968836804
22,2,correct,-0.020698153695895033
22,2,m_miss,-0.021592805266821814
22,2,e_miss,-0.021484704896078885
22,2,both_miss,-0.023040336905368802
23,0,correct,-0.015600362800081135
23,0,m_miss,-0.015115273417811818
23,0,e_miss,-0.0167946492084261
23,0,both_miss,-0.016902363567158313
23,1,correct,-0.011597697110165648
23,1,m_miss,-0.013992639522127818
23,1,e_miss,-0.012285908638182783
23,1,both_miss,-0.015774889651583624
23,2,correct,-0.00762434628634693
23,2,m_miss,-0.010201653710554651
23,2,e_miss,-0.0018096337574433675
23,2,both_miss,-0.0007025826627523209
24,0,correct,-0.0180904212381845
24,0,m_miss,-0.018976044098111357
24,0,e_miss,-0.019853617897771417
24,0,both_miss,-0.031872110294352975
24,1,correct,-0.018956344217880717
24,1,m_miss,-0.019721121082613438
24,1,e_miss,-0.019119148175408766
24,1,both_miss,-0.019367044747596172
24,2,correct,-0.010415433939335462
24,2,m_miss,-0.017502067836587774
24,2,e_miss,-0.013858475524885294
24,2,both_miss,-0.015562117072891152
25,0,correct,-0.002831405558547081
25,0,m_miss,-0.010062598661964094
25,0,e_miss,-0.012671213905121985
25,0,both_miss,-0.012422773252149386
25,1,correct,-0.010369388130002337
25,1,m_miss,-0.013008659918826717
25,1,e_miss,-0.020406430954668462
25,1,both_miss,-0.02098561570921401
25,2,correct,-0.0037036614484094108
25,2,m_miss,-0.009255428849328954
25,2,e_miss,-0.008279614261019278
25,2,both_miss,-0.014904675574938355
26,0,correct,-0.014655128002607093
26,0,m_miss,-0.016163536835335442
26,0,e_miss,-0.0206444927889767
26,0,both_miss,-0.020993905921771406
26,1,correct,-0.014844866877479134
26,1,m_miss,-0.01675358532326325
26,1,e_miss,-0.016264478502562126
26,1,both_miss,-0.02174541923414841
26,2,correct,-0.010653915340880954
26,2,m_miss,-0.008854537306853552
26,2,e_miss,-0.008320318814331228
26,2,both_miss,-0.020339277905419895
27,0,correct,-0.019706826515690595
27,0,m_miss,-0.025127517398327952
27,0,e_miss,-0.022823134513170203
27,0,both_miss,-0.025861131640248766
27,1,correct,-0.011499086883249979
27,1,m_miss,-0.014665825504447606
27,1,e_miss,-0.0154915328737651
27,1,both_miss,-0.016452372394258168
27,2,correct,-0.011874159302984045
27,2,m_miss,-0.01174746992865647
27,2,e_miss,-0.021777124874897812
27,2,both_miss,-0.02299174910382224
28,0,correct,-0.02235052938472364
28,0,m_miss,-0.03194087004547185
28,0,e_miss,-0.02453569418342321
28,0,both_miss,-0.030435957168502125
28,1,correct,-0.02008402056593736
28,1,m_miss,-0.01970066815393679
28,1,e_miss,-0.017085990054645724
28,1,both_miss,-0.023053077918904666
28,2,correct,-0.016049512383381166
28,2,m_miss,-0.02040480302986709
28,2,e_miss,-0.020077173414151175
28,2,both_miss,-0.02562306494928694
29,0,correct,-0.004654032674193012
29,0,m_miss,-0.013541697323313272
29,0,e_miss,-0.01070598772074407
29,0,both_miss,-0.019005711084030198
29,1,correct,-0.008499034081963858
29,1,m_miss,-0.01170441609404581
29,1,e_miss,-0.01480690426357437
29,1,both_miss,-0.015666958772435378
29,2,correct,0.0018572585357295892
29,2,m_miss,0.0003311580440303244
29,2,e_miss,-0.006047322570873416
29,2,both_miss,-0.0019421750927045285
30,0,correct,-0.014163218590869081
30,0,m_miss,-0.019580395028150618
30,0,e_miss,-0.01827915528919584
30,0,both_miss,-0.015730834799309524
30,1,correct,-0.014807221691555279
30,1,m_miss,-0.017095534897123406
30,1,e_miss,-0.016338910317183
30,1,both_miss,-0.024567840396403216
30,2,correct,-0.009684417954963354
30,2,m_miss,-0.012663750977103061
30,2,e_miss,-0.014798632310453249
30,2,both_miss,-0.01314651785667129
31,0,correct,-0.013773195243831509
31,0,m_miss,-0.016558871267445006
31,0,e_miss,-0.016613219216491927
31,0,both_miss,-0.0195310871759673
31,1,correct,-0.018565958472490065
31,1,m_miss,-0.018654459354278542
31,1,e_miss,-0.017380462897709517
31,1,both_miss,-0.026045796002981132
31,2,correct,-0.014189296574276923
31,2,m_miss,-0.016758337826155774
31,2,e_miss,-0.016631400812418925
31,2,both_miss,-0.01847702521889273
32,0,correct,-0.019553528908023855
32,0,m_miss,-0.019136524180364625
32,0,e_miss,-0.022541925249163795
32,0,both_miss,-0.019877135764762854
32,1,correct,-0.03168736336778072
32,1,m_miss,-0.03053738655221357
32,1,e_miss,-0.03156686210560039
32,1,both_miss,-0.031780564527219786
32,2,correct,-0.021873871969200674
32,2,m_miss,-0.024741096729622342
32,2,e_miss,-0.02599947235580548
32,2,both_miss,-0.025410609481992755
33,0,correct,-0.009882152862949696
33,0,m_miss,-0.010620776478380223
33,0,e_miss,-0.0092067559086145
33,0,both_miss,-0.012321650980452318
33,1,correct,-0.011616951390225254
33,1,m_miss,-0.012370201097614197
33,1,e_miss,-0.008749930784891986
33,1,both_miss,-0.01693203409725285
33,2,correct,-0.014069782588757062
33,2,m_miss,-0.022441790701243036
33,2,e_miss,-0.016292554878248024
33,2,both_miss,-0.02598118345041129
34,0,correct,-0.021775468774295256
34,0,m_miss,-0.03549009393474266
34,0,e_miss,-0.030304491263035867
34,0,both_miss,-0.03807816162794278
34,1,correct,-0.13034900792061926
34,1,m_miss,-0.047384825103165454
34,1,e_miss,-0.044652459809384384
34,1,both_miss,-0.0493967780316099
34,2,correct,-0.030836790345513312
34,2,m_miss,-0.03396360692020181
34,2,e_miss,-0.04480459123203395
34,2,both_miss,-0.04877949715903987
35,0,correct,-0.0192639142301324
35,0,m_miss,-0.02707703901850744
35,0,e_miss,-0.023518683340507
35,0,both_miss,-0.026639479107814657
35,1,correct,-0.02514191405612893
35,1,m_miss,-0.02997485909141269
35,1,e_miss,-0.028462107406999927
35,1,both_miss,-0.03785314483424629
35,2,correct,-0.024367521599082283
35,2,m_miss,-0.027716877525688976
35,2,e_miss,-0.026669241372102213
35,2,both_miss,-0.03148313719671037
36,0,correct,-0.012973026568408432
36,0,m_miss,-0.027671390756734412
36,0,e_miss,-0.023553386956876234
36,0,both_miss,-0.025566131512691923
36,1,correct,-0.01919378299052565
36,1,m_miss,-0.019199241070596996
36,1,e_miss,-0.01760949922403155
36,1,both_miss,-0.020770372617754364
36,2,correct,-0.021524311596848544
36,2,m_miss,-0.025555850607281334
36,2,e_miss,-0.026284962392568122
36,2,both_miss,-0.028012822952686815
37,0,correct,-0.01138646639562457
37,0,m_miss,-0.013661493946292742
37,0,e_miss,-0.012420199764634146
37,0,both_miss,-0.012267115251142876
37,1,correct,-0.014016061557642167
37,1,m_miss,-0.017284746576063874
37,1,e_miss,-0.01663880844698776
37,1,both_miss,-0.021202087265948327
37,2,correct,-0.019208580272017155
37,2,m_miss,-0.025854092907149767
37,2,e_miss,-0.0205077867727932
37,2,both_miss,-0.030573880748291368
38,0,correct,-0.020564976913993654
38,0,m_miss,-0.030680653958038685
38,0,e_miss,-0.022797556732927132
38,0,both_miss,-0.025343973444926074
38,1,correct,-0.022782283113677953
38,1,m_miss,-0.02042912889573418
38,1,e_miss,-0.02369682871887958
38,1,both_miss,-0.023426470331858722
38,2,correct,-0.02538804825938353
38,2,m_miss,-0.02353749125540424
38,2,e_miss,-0.024114697076909015
38,2,both_miss,-0.02962141927802025
39,0,correct,-0.011606213291115426
39,0,m_miss,-0.014080153868331488
39,0,e_miss,-0.01428200601240615
39,0,both_miss,-0.01616519763175457
39,1,correct,-0.01419697304734359
39,1,m_miss,-0.01893329994595285
39,1,e_miss,-0.01611472483401597
39,1,both_miss,-0.018243605286128655
39,2,correct,-0.01408479908392685
39,2,m_miss,-0.01583532444834692
39,2,e_miss,-0.014827725627922237
39,2,both_miss,-0.016968186732465015
40,0,correct,-0.022540312569203174
40,0,m_miss,-0.027668612178816426
40,0,e_miss,-0.027160409458512204
40,0,both_miss,-0.0290998017626719
40,1,correct,-0.022432633977707464
40,1,m_miss,-0.03170754032524149
40,1,e_miss,-0.03126338708365663
40,1,both_miss,-0.03685189801791332
40,2,correct,-0.025913577200302376
40,2,m_miss,-0.027601904539881622
40,2,e_miss,-0.02867864415111053
40,2,both_miss,-0.025209438419150097
41,0,correct,-0.02391518087624744
41,0,m_miss,-0.03166876490242639
41,0,e_miss,-0.031221057074602775
41,0,both_miss,-0.03384045833091725
41,1,correct,-0.031468465236055294
41,1,m_miss,-0.029645514143671482
41,1,e_miss,-0.029479853946095192
41,1,both_miss,-0.03272249677415227
41,2,correct,-0.024116155498008256
41,2,m_miss,-0.03098602582123592
41,2,e_miss,-0.03826765225345427
41,2,both_miss,-0.03272793351012465
42,0,correct,-0.02122930609403588
42,0,m_miss,-0.02568030267056522
42,0,e_miss,-0.022428491859035202
42,0,both_miss,-0.024777693883021
42,1,correct,-0.015396936718577052
42,1,m_miss,-0.02120952259202474
42,1,e_miss,-0.01884081364778271
42,1,both_miss,-0.023197834648437134
42,2,correct,-0.020572010921361072
42,2,m_miss,-0.028167877225387203
42,2,e_miss,-0.031706779240816746
42,2,both_miss,-0.029337421973622088
43,0,correct,-0.01951726164371939
43,0,m_miss,-0.01919930349329573
43,0,e_miss,-0.018358836020957323
43,0,both_miss,-0.020645233280293055
43,1,correct,-0.025790950901519328
43,1,m_miss,-0.02163439378589454
43,1,e_miss,-0.031213732889387558
43,1,both_miss,-0.027692124562498713
43,2,correct,-0.023613129852876395
43,2,m_miss,-0.03145902796412928
43,2,e_miss,-0.020371422846407736
43,2,both_miss,-0.027965139129720273
44,0,correct,-0.02228560531105976
44,0,m_miss,-0.025232287978726037
44,0,e_miss,-0.024730815390930787
44,0,both_miss,-0.026036518072836783
44,1,correct,-0.02384680116528796
44,1,m_miss,-0.02966629693313834
44,1,e_miss,-0.021760999868146783
44,1,both_miss,-0.03228561942704457
44,2,correct,-0.021121008997326423
44,2,m_miss,-0.022389766226875822
44,2,e_miss,-0.0200813069692379
44,2,both_miss,-0.023004108498537155
45,0,correct,-0.017168190145949155
45,0,m_miss,-0.019212485873392752
45,0,e_miss,-0.025234213224525175
45,0,both_miss,-0.0335143138734923
45,1,correct,-0.02018661896220655
45,1,m_miss,-0.019945134184957258
45,1,e_miss,-0.020095027945423453
45,1,both_miss,-0.020032528578336314
45,2,correct,-0.019469704750925933
45,2,m_miss,-0.019481380476807877
45,2,e_miss,-0.021272278139738605
45,2,both_miss,-0.022277850804787058
46,0,correct,-0.015414915766476033
46,0,m_miss,-0.01792834635566256
46,0,e_miss,-0.01918216113058523
46,0,both_miss,-0.01858510338580195
46,1,correct,-0.01685402491041392
46,1,m_miss,-0.009713135834288298
46,1,e_miss,-0.010344803832358857
46,1,both_miss,-0.02050134974984898
46,2,correct,-0.011545763552919112
46,2,m_miss,-0.012454125552884245
46,2,e_miss,-0.014081295514832733
46,2,both_miss,-0.021422923144074204
47,0,correct,-0.008614323141667612
47,0,m_miss,-0.0097116426486482
47,0,e_miss,-0.015985604689986617
47,0,both_miss,-0.015097479182898454
47,1,correct,-0.0173388362700574
47,1,m_miss,-0.018574748223070252
47,1,e_miss,-0.019248284266590768
47,1,both_miss,-0.01776194850562683
47,2,correct,-0.015032789633264727
47,2,m_miss,-0.016753572695206137
47,2,e_miss,-0.016315758289917097
47,2,both_miss,-0.017157273499158132
48,0,correct,-0.01862476251312298
48,0,m_miss,-0.023928802665262348
48,0,e_miss,-0.01869714650728076
48,0,both_miss,-0.026392671310442522
48,1,correct,-0.013475776900656005
48,1,m_miss,-0.011504429136432943
48,1,e_miss,-0.014777674015745078
48,1,both_miss,-0.01859412132454076
48,2,correct,-0.01724201220664358
48,2,m_miss,-0.018566679881814062
48,2,e_miss,-0.01766970887677025
48,2,both_miss,-0.02050914096734117
49,0,correct,-0.01125473526618848
49,0,m_miss,-0.01852055459622683
49,0,e_miss,-0.013903853890568056
49,0,both_miss,-0.020077219746997086
49,1,correct,-0.012725495062222416
49,1,m_miss,-0.012915626293868764
49,1,e_miss,-0.019425675588396866
49,1,both_miss,-0.015719949115361682
49,2,correct,-0.0129213342388489
49,2,m_miss,-0.013024495240931125
49,2,e_miss,-0.014532718599078863
49,2,both_miss,-0.011992125292885323
50,0,correct,-0.016654196671719843
50,0,m_miss,-0.015498778738612733
50,0,e_miss,-0.015731779250308324
50,0,both_miss,-0.017414788972897693
50,1,correct,-0.013429604572344322
50,1,m_miss,-0.017228303065288657
50,1,e_miss,-0.01945720442198351
50,1,both_miss,-0.022993374989043965
50,2,correct,-0.016538696627609924
50,2,m_miss,-0.017292058183079738
50,2,e_miss,-0.01850333651279301
50,2,both_miss,-0.0206928154000549
51,0,correct,-0.023070630305671785
51,0,m_miss,-0.022468949976817094
51,0,e_miss,-0.024502485720600986
51,0,both_miss,-0.0331814946083305
51,1,correct,-0.01677759792844596
51,1,m_miss,-0.01146975168334737
51,1,e_miss,-0.012445894504396704
51,1,both_miss,-0.01597992560618567
51,2,correct,-0.019885026447218887
51,2,m_miss,-0.02315352326612941
51,2,e_miss,-0.024462754105868113
51,2,both_miss,-0.028048130992046408
52,0,correct,-0.018747718832521257
52,0,m_miss,-0.027138336924061895
52,0,e_miss,-0.02160158080300293
52,0,both_miss,-0.024819219737894846
52,1,correct,-0.02547990677879705
52,1,m_miss,-0.034995200272805276
52,1,e_miss,-0.02990486603564905
52,1,both_miss,-0.034149062285229334
52,2,correct,-0.02144533630865516
52,2,m_miss,-0.02368357905670155
52,2,e_miss,-0.023679737350974964
52,2,both_miss,-0.028301209784516237
53,0,correct,-0.012553136653116994
53,0,m_miss,-0.014436239028599496
53,0,e_miss,-0.016147221235844226
53,0,both_miss,-0.017011726635739435
53,1,correct,-0.01629461016295026
53,1,m_miss,-0.020686434466100186
53,1,e_miss,-0.025853159826242915
53,1,both_miss,-0.027500128198303452
53,2,correct,-0.01028881570069412
53,2,m_miss,-0.011571785031213068
53,2,e_miss,-0.013754773080841994
53,2,both_miss,-0.01941021865945482
54,0,correct,-0.013748468149498596
54,0,m_miss,-0.011754062897749022
54,0,e_miss,-0.022327481041324027
54,0,both_miss,-0.015603796993231767
54,1,correct,-0.017432358073243212
54,1,m_miss,-0.016430593537527044
54,1,e_miss,-0.013004504218850209
54,1,both_miss,-0.01750218739416917
54,2,correct,-0.013428146460437568
54,2,m_miss,-0.022082290945451864
54,2,e_miss,-0.02024381418240949
54,2,both_miss,-0.02059880217324453
55,0,correct,-0.02828378374120302
55,0,m_miss,-0.036152509136829096
55,0,e_miss,-0.03130768833815702
55,0,both_miss,-0.034035631003582305
55,1,correct,-0.025621467236089608
55,1,m_miss,-0.025263597903819175
55,1,e_miss,-0.02380429586415807
55,1,both_miss,-0.025256185107542243
55,2,correct,-0.02513857326370701
55,2,m_miss,-0.04153550993571861
55,2,e_miss,-0.033684715384479626
55,2,both_miss,-0.03808657734219257
56,0,correct,-0.021844309667405925
56,0,m_miss,-0.023436845246898458
56,0,e_miss,-0.016322121684477976
56,0,both_miss,-0.019490606056528876
56,1,correct,-0.008720189830867281
56,1,m_miss,-0.014656796837148451
56,1,e_miss,-0.011486632797118214
56,1,both_miss,-0.017413866800165625
56,2,correct,-0.015784414301851644
56,2,m_miss,-0.016449849377616475
56,2,e_miss,-0.020193456539872506
56,2,both_miss,-0.019884359166581232
57,0,correct,-0.01224339753137813
57,0,m_miss,-0.01565080317899494
57,0,e_miss,-0.017993640202896146
57,0,both_miss,-0.022277267813292256
57,1,correct,-0.004287350327187965
57,1,m_miss,-0.004513391078552764
57,1,e_miss,-0.005672757140371431
57,1,both_miss,-0.009772243662772082
57,2,correct,-0.016045043853825252
57,2,m_miss,-0.018156340665742298
57,2,e_miss,-0.020015692527729185
57,2,both_miss,-0.01576570880376743
58,0,correct,-0.016280756537459747
58,0,m_miss,-0.022029169721264542
58,0,e_miss,-0.017474830075916017
58,0,both_miss,-0.02316350544800022
58,1,correct,-0.009165688615582717
58,1,m_miss,-0.008287990844845548
58,1,e_miss,-0.008908765449796258
58,1,both_miss,-0.008611039631448644
58,2,correct,-0.016158021533540668
58,2,m_miss,-0.015908095436493522
58,2,e_miss,-0.018406671478280998
58,2,both_miss,-0.016517630766607793
59,0,correct,-0.009483844644290307
59,0,m_miss,-0.014988537323975745
59,0,e_miss,-0.013130269631323082
59,0,both_miss,-0.015344200247200547
59,1,correct,-0.002813952107117832
59,1,m_miss,-0.00222308291263001
59,1,e_miss,-0.009475994218171177
59,1,both_miss,-0.008596648179222306
59,2,correct,0.0026971513027530753
59,2,m_miss,-0.0015872469384286697
59,2,e_miss,-0.0020743278295191577
59,2,both_miss,-0.004099774774807772
60,0,correct,-0.015719791486305597
60,0,m_miss,-0.022634234445698617
60,0,e_miss,-0.020642740681536636
60,0,both_miss,-0.029419379453875665
60,1,correct,-0.017305965729315913
60,1,m_miss,-0.018870731644499993
60,1,e_miss,-0.02202085752898568
60,1,both_miss,-0.029821331563804346
60,2,correct,-0.020662214752963166
60,2,m_miss,-0.0226810041386496
60,2,e_miss,-0.023229681063214856
60,2,both_miss,-0.027345966773787662
61,0,correct,-0.0248457532070897
61,0,m_miss,-0.025762789708098206
61,0,e_miss,-0.026848118581181985
61,0,both_miss,-0.026073433342560372
61,1,correct,-0.02826462933472261
61,1,m_miss,-0.0301869948330499
61,1,e_miss,-0.034911115185071125
61,1,both_miss,-0.03752967523523876
61,2,correct,-0.025098967973840838
61,2,m_miss,-0.027578622567764274
61,2,e_miss,-0.026525898793739202
61,2,both_miss,-0.035070849463990694
62,0,correct,-0.020871424576579513
62,0,m_miss,-0.019178323327035677
62,0,e_miss,-0.019255482533448404
62,0,both_miss,-0.01931458500398843
62,1,correct,-0.020436420114751625
62,1,m_miss,-0.019146698521588613
62,1,e_miss,-0.02045533384450622
62,1,both_miss,-0.023040583723926998
62,2,correct,-0.018789644053052102
62,2,m_miss,-0.02688002643489906
62,2,e_miss,-0.030144736436699487
